Name,Type,Address,Cuisine type,Price,Extra,Reservation,Number of reviews,Working Hours,Average Price,Min Price,Max Price
Gold,cafe,"мкр. Жетысу 2, 11","паназиатская, американская, европейская, восточная, китайская",1500–3500 тенге на человека,"танцпол, Wi-Fi, спортивные трансляции",0,No reviews,"['Уточняйте, пожалуйста, часы работы по телефону']",2500.0,1500.0,3500.0
Пельмешка на Байтурсынова,cafe,"ул. Байтурсынова, 78 А","европейская, восточная",1500–3000 тенге на человека,"европейская, итальянская",1,No reviews,['10:00–23:00 (пн–сб)'],2250.0,1500.0,3000.0
Хомяк,cafe,"бульвар Бухар Жырау, 27/5","европейская, итальянская",3000–7000 тенге на человека,"Wi-Fi, детское кафе",0,5 отзывов,"['Уточняйте, пожалуйста, часы работы по телефону']",5000.0,3000.0,7000.0
Пельмешка на Абылай хана,cafe,"пр. Абылай хана, 18, уг. пр. Райымбека","европейская, восточная",1500–3000 тенге на человека,"Wi-Fi, халяль",1,No reviews,"['09:00–23:00, без выходных']",2250.0,1500.0,3000.0
Gardizi,cafe,"мкр. Кокжиек, 53/1","европейская, грузинская",3000–5000 тенге на человека,"кальян, танцпол, Wi-Fi",0,6 отзывов,"['Уточняйте, пожалуйста, часы работы по телефону']",4000.0,3000.0,5000.0
China,cafe,"пр. Абая, 89",китайская,3000–7000 тенге на человека,VIP-зал,1,No reviews,"['11:00–22:00, без выходных']",5000.0,3000.0,7000.0
Огни Алатау,cafe,"мкр. Калкаман 2, ул. Ашимова 239, уг. ул. Шаляпина","европейская, казахская, корейская",3000–5000 тенге на человека,"Wi-Fi, кальян, танцпол, караоке, VIP-зал",0,No reviews,"['Уточняйте, пожалуйста, часы работы по телефону']",4000.0,3000.0,5000.0
Qarlygash,cafe,"пр. Назарбаева, 145","европейская, казахская",3000–5000 тенге на человека,"Wi-Fi, танцпол, караоке, топчаны, VIP-зал",1,3 отзыва,"['11:00–23:00, без выходных']",4000.0,3000.0,5000.0
ПЯТНИЦА,cafe,"пр. Гагарина, 92, уг. ул. Курмангазы","грузинская, европейская, итальянская, японская",6000–8000 тенге на человека,"Wi-Fi, караоке, танцпол, VIP-зал, спортивные трансляции",1,10 отзывов,"['11:00–23:00, без выходных']",7000.0,6000.0,8000.0
Улы Тау,cafe,"ул. Дулати, 15","восточная, европейская, кавказская, казахская",4000–10000 тенге на человека,"Wi-Fi, кальян, танцпол, спортивные трансляции",1,1 отзыв,"['10:00–00:00, без выходных']",7000.0,4000.0,10000.0
